,all-heroes,ana,anran,ashe,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,illari,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Sticky Bombs Direct Hits - Avg per 10 Min,,,,,,,,,,57.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,,,41973,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,,,3550,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,,,1498,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Most in Game,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,3.8,,,,
Long Range Final Blow - Most in Game,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Pylon Healing,,,,,,,,,,,,,53800,,,,,,,,,,,,,,,,,,,,,,,
Sunstruck Detonations,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Damage,,,,,,,,,,,,,10407,,,,,,,,,,,,,,,,,,,,,,,
Pylon Healing - Most in Game,,,,,,,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,
Captive Sun Damage - Most in Game,,,,,,,,,,,,,1582,,,,,,,,,,,,,,,,,,,,,,,
Sunstruck Detonations - Most in Game,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Secondary Fire Accuracy,,,,,,,,,,,,,53,,,,,,53,,,,,,,,,,33,,,,,,,
Pylon Healing - Avg per 10 Min,,,,,,,,,,,,,4370,,,,,,,,,,,,,,,,,,,,,,,
Captive Sun Damage - Avg per 10 Min,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,
Pylon Uptime Percentage,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,
Primary Fire Accuracy,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,47,,,,54,,35,
Sunstruck Detonations - Avg per 10 Min,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,
Enemies Trapped - Most in Game,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
Enemies Trapped,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills - Most in Game,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Most in Game,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,
RIP-Tire Kills - Avg per 10 Min,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,
Direct Hit Accuracy,,,,,,,,,,,,,,12,,,,,,,19,,,,,,,,,,,,,,,
Enemies Trapped - Avg per 10 Min,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Most in Game,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Most in Game,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,
Kunai Kills,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Most in Game,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Avg per 10 Min,,,,,,,,,,,,,,,10.56,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Avg per 10 Min,,,,,,,,,,,,,,,11.41,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Avg per 10 Min,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Most in Game,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Avg per 10 Min,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,
Offensive Assist - Most in Game,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Enemies Frozen,,,,,,,,,,,,,,,,,912,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Most in Game,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Most in Game,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
Blizzard Kills,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,
Icicle Accuracy,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,
Icicle Critical Accuracy,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Avg per 10 Min,,,,,,,,,,,,,,,,,10.78,,,,,,,,,,,,,,,,,,,
Blaster Kills,,,,,,,,,,,,,,,,,,1537,,,,,,,,,,,,,,,,,,
Blaster Kills - Most in Game,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
Players Resurrected,,,,,,,,,,,,,,,,,,2173,,,,,,,,,,,,,,,,,,
Players Resurrected - Most in Game,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done,,,,,,,,,,,,,,,,,,275807,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done,,,,,,,,,,,,,,,,,,5808,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done - Most in Game,,,,,,,,,,,,,,,,,,991,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done - Most in Game,,,,,,,,,,,,,,,,,,4164,,,,,,,,,,,,,,,,,,
Players Resurrected - Avg per 10 Min,,,,,,,,,,,,,,,,,,6.48,,,,,,,,,,,,,,,,,,
Healing Beam Usage,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,
Valkyrie Damage Done - Avg per 10 Min,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,
Blaster Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,4.59,,,,,,,,,,,,,,,,,,
Offensive Beam Usage,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done - Avg per 10 Min,,,,,,,,,,,,,,,,,,9063,,,,,,,,,,,,,,,,,,
Coalescence Kills,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,
Coalescence Kills - Most in Game,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Coalescence Healing,,,,,,,,,,,,,,,,,,,28998,,,,,,,,,,,,,,,,,
Coalescence Healing - Most in Game,,,,,,,,,,,,,,,,,,,2637,,,,,,,,,,,,,,,,,
Biotic Orb Kills,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,
Biotic Orb Kills - Most in Game,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
Coalescence Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,
Ally Coalescence Efficiency,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,
Biotic Orb Kills  - Avg per 10 Min,,,,,,,,,,,,,,,,,,,9.11,,,,,,,,,,,,,,,,,
Enemy Coalescence Efficiency,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,
Coalescence Healing - Avg per 10 Min,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,
Ultimate Negated - Most in Game,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Terra Surge Kills,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,
Terra Surge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Energy Javelin Kills,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,
Javelin Spin Kills,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,
Energy Javelin Kills NYI,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Javelin Spin Kills NYI,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,
Javelin Spin Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Terra Surge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,4.49,,,,,,,,,,,,,,,,
Energy Javelin Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,9.54,,,,,,,,,,,,,,,,
Energy Javelin Accuracy,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,
Critical Hit Kill - Most in Game,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,
Critical Hit Kill,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,
Rocket Direct Hits,,,,,,,,,,,,,,,,,,,,,1576,,,,,,,,,,,,,,,
Barrage Kills,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,
Rocket Direct Hits - Most in Game,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,
Barrage Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Barrage Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,
Airtime Percentage,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Rocket Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,29.32,,,,,,,,,,,,,,,
Pummel Kills,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Pummel Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Annihilation Kills,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Annihilation Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Annihilation Efficiency,,,,,,,,,,,,,,,,,,,,,,1606,,,,,,,,,,,,,,
Pummel Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,14.39,,,,,,,,,,,,,,
Annihilation Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,
Pummel Accuracy,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,
Death,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Death Blossom Kills,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
Death Blossom Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
Death Blossom Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,4.64,,,,,,,,,,,,,
Charge Kills,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Charge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Fire Strike Kills,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Fire Strike Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Earthshatter Kills,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Earthshatter Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Earthshatter Stuns,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Earthshatter Direct Hit,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Fire Strike Accuracy,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,
Charge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,
Earthshatter Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,
Earthshatter Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,
Fire Strike Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,
Earthshatter Stuns - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,
Knockback Kill,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Offensive Assist,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Whole Hog Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Whole Hog Kills,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Chain Hook Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,
Whole Hog Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,
Chain Hook Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,
Charged Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Charged Shot Kills,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Charged Shot Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,
Overclock Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Overclock Kill,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Disruptor Shot Kills,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Disruptor Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Overclock Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,,
Charged Shot Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,
Disruptor Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,,,,,,,,,,
Charged Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,,,,,,,,,,
Helix Rocket Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
Helix Rocket Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,
Tactical Visor Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,
Tactical Visor Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Helix Rocket Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,
Helix Rocket Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,
Tactical Visor Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
Enemies Hacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,,,,,,,,
Enemies Hacked - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,
Enemies Hacked - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,,,,,,,,
Sentry Turret Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,
Sentry Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Players Teleported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,
Players Teleported - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,
Secondary Direct Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,
Sentry Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,,,,,,,
Players Teleported - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35,,,,,,,
Average Damage Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
Secondary Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46,,,,,,,
Turret Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,
Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,
Molten Core Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
Molten Core Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57,,,,,,
Molten Core Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,,,,,,
Pulse Bomb Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,
Pulse Bomb Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Pulse Bombs Attached - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Pulse Bombs Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,
Low Health Recalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Low Health Recalls - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Pulse Bomb Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,
Pulse Bomb Attach Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,
Low Health Recalls - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,
Pulse Bombs Attached - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,
Venom Mine Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,,,,
Venom Mine Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Venom Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,
Environmental Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Jump Pack Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Jump Pack Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Primal Rage Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Primal Rage Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Melee Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Jump Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Weapon Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
Jump Pack Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,
Primal Rage Kills  - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,
Adaptive Shielding Created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,
Grappling Claw Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Grappling Claw Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Adaptive Shielding Created - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,,
Grappling Claw Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,,
Final Blow - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Graviton Surge Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,
Graviton Surge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
High Energy Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,
High Energy Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,
Average Energy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,
Average Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
Graviton Surge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,
High Energy Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
Elimination - Most in Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Elimination - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Objective Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Critical Hit - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Critical Hit - Most in Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Objective Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Defensive Assist - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
